Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date
73,92,72,92,2020
80,79,75,98,2020
61,75,74,86,2020
60,78,70,77,2018
69,78,64,,2018
71,90,77,95,2020
62,86,71,99,2021
67,81,79,87,2020
68,76,71,78,2020
77,85,80,91,2018
62,77,70,97,2018
63,,70,90,2018
68,89,80,77,2019
72,93,60,87,2020
75,93,62,90,2018
70,89,63,83,2019
61,79,64,84,
71,77,,78,2020
63,94,71,99,2019
66,78,68,99,2019
71,87,79,88,2021
78,94,60,79,2021
62,86,61,83,2019
70,92,76,,2019
75,94,65,88,2019
65,,80,87,2021
,89,74,100,2018
78,85,61,97,
60,83,75,80,2019
63,92,73,90,2021
